ts,day,equity,cash,positions_count,buys_today
1771459980.000,2026-02-19,998900.0000,810000.0000,1,1
1771459981.000,2026-02-19,999000.0000,810000.0000,1,1
1771459982.000,2026-02-19,999000.0000,810000.0000,1,1
1771459983.000,2026-02-19,998950.0000,810000.0000,1,1
1771459987.000,2026-02-19,998900.0000,810000.0000,1,1
1771459990.000,2026-02-19,999000.0000,810000.0000,1,1
1771459992.000,2026-02-19,999000.0000,810000.0000,1,1
1771459993.000,2026-02-19,999000.0000,810000.0000,1,1
1771459997.000,2026-02-19,999000.0000,810000.0000,1,1
1771459999.000,2026-02-19,998900.0000,810000.0000,1,1
1771460004.000,2026-02-19,999200.0000,810000.0000,1,1
1771460013.000,2026-02-19,999300.0000,810000.0000,1,1
1771460014.000,2026-02-19,999400.0000,810000.0000,1,1
1771460016.000,2026-02-19,999400.0000,810000.0000,1,1
1771460018.000,2026-02-19,999500.0000,810000.0000,1,1
1771460029.000,2026-02-19,999300.0000,810000.0000,1,1
1771460030.000,2026-02-19,999200.0000,810000.0000,1,1
1771460034.000,2026-02-19,999400.0000,810000.0000,1,1
1771460035.000,2026-02-19,999400.0000,810000.0000,1,1
1771460036.000,2026-02-19,999500.0000,810000.0000,1,1
1771460037.000,2026-02-19,999400.0000,810000.0000,1,1
1771460038.000,2026-02-19,999500.0000,810000.0000,1,1
1771460039.000,2026-02-19,999400.0000,810000.0000,1,1
1771460043.000,2026-02-19,999500.0000,810000.0000,1,1
1771460044.000,2026-02-19,999500.0000,810000.0000,1,1
1771460055.000,2026-02-19,999300.0000,810000.0000,1,1
1771460056.000,2026-02-19,999300.0000,810000.0000,1,1
1771460059.000,2026-02-19,999300.0000,810000.0000,1,1
1771460060.000,2026-02-19,999300.0000,810000.0000,1,1
1771460062.000,2026-02-19,999200.0000,810000.0000,1,1
1771460064.000,2026-02-19,999300.0000,810000.0000,1,1
1771460065.000,2026-02-19,999300.0000,810000.0000,1,1
1771460066.000,2026-02-19,999300.0000,810000.0000,1,1
1771460067.000,2026-02-19,999300.0000,810000.0000,1,1
1771460068.000,2026-02-19,999300.0000,810000.0000,1,1
1771460070.000,2026-02-19,999300.0000,810000.0000,1,1
1771460071.000,2026-02-19,999400.0000,810000.0000,1,1
1771460072.000,2026-02-19,999450.0000,810000.0000,1,1
1771460073.000,2026-02-19,999400.0000,810000.0000,1,1
1771460076.000,2026-02-19,999500.0000,810000.0000,1,1
1771460078.000,2026-02-19,999500.0000,810000.0000,1,1
1771460079.000,2026-02-19,999400.0000,810000.0000,1,1
1771460080.000,2026-02-19,999500.0000,810000.0000,1,1
1771460083.000,2026-02-19,999600.0000,810000.0000,1,1
1771460085.000,2026-02-19,999500.0000,810000.0000,1,1
1771460087.000,2026-02-19,999500.0000,810000.0000,1,1
1771460090.000,2026-02-19,999500.0000,810000.0000,1,1
1771460091.000,2026-02-19,999600.0000,810000.0000,1,1
1771460092.000,2026-02-19,999500.0000,810000.0000,1,1
1771460098.000,2026-02-19,999700.0000,810000.0000,1,1
1771460099.000,2026-02-19,999700.0000,810000.0000,1,1
1771460103.000,2026-02-19,999800.0000,810000.0000,1,1
1771460106.000,2026-02-19,999800.0000,810000.0000,1,1
1771460107.000,2026-02-19,999800.0000,810000.0000,1,1
1771460108.000,2026-02-19,999800.0000,810000.0000,1,1
1771460109.000,2026-02-19,999700.0000,810000.0000,1,1
1771460114.000,2026-02-19,999900.0000,810000.0000,1,1
1771460115.000,2026-02-19,999800.0000,810000.0000,1,1
1771460116.000,2026-02-19,999900.0000,810000.0000,1,1
1771460117.000,2026-02-19,999900.0000,810000.0000,1,1
1771460118.000,2026-02-19,999850.0000,810000.0000,1,1
1771460121.000,2026-02-19,999900.0000,810000.0000,1,1
1771460122.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460124.000,2026-02-19,999900.0000,810000.0000,1,1
1771460125.000,2026-02-19,999900.0000,810000.0000,1,1
1771460132.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460133.000,2026-02-19,999950.0000,810000.0000,1,1
1771460134.000,2026-02-19,1000050.0000,810000.0000,1,1
1771460137.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460139.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460141.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460142.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460144.000,2026-02-19,999950.0000,810000.0000,1,1
1771460163.000,2026-02-19,999900.0000,810000.0000,1,1
1771460165.000,2026-02-19,999900.0000,810000.0000,1,1
1771460168.000,2026-02-19,999950.0000,810000.0000,1,1
1771460169.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460172.000,2026-02-19,999900.0000,810000.0000,1,1
1771460173.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460174.000,2026-02-19,999900.0000,810000.0000,1,1
1771460177.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460179.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460181.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460182.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460184.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460185.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460189.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460190.000,2026-02-19,999900.0000,810000.0000,1,1
1771460192.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460195.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460196.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460200.000,2026-02-19,1000000.0000,810000.0000,1,1
1771460219.000,2026-02-19,999500.0000,810000.0000,1,1
1771460233.000,2026-02-19,999500.0000,810000.0000,1,1
1771460235.000,2026-02-19,999500.0000,810000.0000,1,1
1771460236.000,2026-02-19,999600.0000,810000.0000,1,1
1771460237.000,2026-02-19,999500.0000,810000.0000,1,1
1771460238.000,2026-02-19,999500.0000,810000.0000,1,1
1771460243.000,2026-02-19,999600.0000,810000.0000,1,1
1771460245.000,2026-02-19,999600.0000,810000.0000,1,1
1771460247.000,2026-02-19,999600.0000,810000.0000,1,1
1771460249.000,2026-02-19,999600.0000,810000.0000,1,1
1771460256.000,2026-02-19,999600.0000,810000.0000,1,1
1771460257.000,2026-02-19,999600.0000,810000.0000,1,1
1771460258.000,2026-02-19,999600.0000,810000.0000,1,1
1771460259.000,2026-02-19,999600.0000,810000.0000,1,1
1771460264.000,2026-02-19,999600.0000,810000.0000,1,1
1771460268.000,2026-02-19,999600.0000,810000.0000,1,1
1771460269.000,2026-02-19,999600.0000,810000.0000,1,1
1771460270.000,2026-02-19,999700.0000,810000.0000,1,1
1771460272.000,2026-02-19,999700.0000,810000.0000,1,1
1771460274.000,2026-02-19,999600.0000,810000.0000,1,1
1771460275.000,2026-02-19,999600.0000,810000.0000,1,1
1771460276.000,2026-02-19,999600.0000,810000.0000,1,1
1771460277.000,2026-02-19,999700.0000,810000.0000,1,1
1771460278.000,2026-02-19,999700.0000,810000.0000,1,1
1771460279.000,2026-02-19,999600.0000,810000.0000,1,1
1771460280.000,2026-02-19,999700.0000,810000.0000,1,1
1771460282.000,2026-02-19,999600.0000,810000.0000,1,1
1771460283.000,2026-02-19,999700.0000,810000.0000,1,1
1771460285.000,2026-02-19,999600.0000,810000.0000,1,1
1771460288.000,2026-02-19,999700.0000,810000.0000,1,1
1771460290.000,2026-02-19,999650.0000,810000.0000,1,1
1771460301.000,2026-02-19,999600.0000,810000.0000,1,1
1771460302.000,2026-02-19,999600.0000,810000.0000,1,1
1771460305.000,2026-02-19,999500.0000,810000.0000,1,1
1771460309.000,2026-02-19,999500.0000,810000.0000,1,1
1771460314.000,2026-02-19,999600.0000,810000.0000,1,1
1771460316.000,2026-02-19,999600.0000,810000.0000,1,1
1771460317.000,2026-02-19,999600.0000,810000.0000,1,1
1771460318.000,2026-02-19,999600.0000,810000.0000,1,1
1771460330.000,2026-02-19,999500.0000,810000.0000,1,1
1771460331.000,2026-02-19,999500.0000,810000.0000,1,1
1771460337.000,2026-02-19,999600.0000,810000.0000,1,1
1771460340.000,2026-02-19,999600.0000,810000.0000,1,1
1771460342.000,2026-02-19,999600.0000,810000.0000,1,1
1771460347.000,2026-02-19,999600.0000,810000.0000,1,1
1771460351.000,2026-02-19,999600.0000,810000.0000,1,1
1771460352.000,2026-02-19,999500.0000,810000.0000,1,1
1771460353.000,2026-02-19,999600.0000,810000.0000,1,1
1771460354.000,2026-02-19,999600.0000,810000.0000,1,1
1771460355.000,2026-02-19,999600.0000,810000.0000,1,1
1771460373.000,2026-02-19,999500.0000,810000.0000,1,1
1771460381.000,2026-02-19,999500.0000,810000.0000,1,1
1771460387.000,2026-02-19,999500.0000,810000.0000,1,1
1771460388.000,2026-02-19,999500.0000,810000.0000,1,1
1771460390.000,2026-02-19,999400.0000,810000.0000,1,1
1771460398.000,2026-02-19,999200.0000,810000.0000,1,1
1771460406.000,2026-02-19,999200.0000,810000.0000,1,1
1771460412.000,2026-02-19,999200.0000,810000.0000,1,1
1771460413.000,2026-02-19,999200.0000,810000.0000,1,1
1771460416.000,2026-02-19,999100.0000,810000.0000,1,1
1771460428.000,2026-02-19,999100.0000,810000.0000,1,1
1771460429.000,2026-02-19,999100.0000,810000.0000,1,1
1771460430.000,2026-02-19,999000.0000,810000.0000,1,1
1771460434.000,2026-02-19,999100.0000,810000.0000,1,1
1771460437.000,2026-02-19,999100.0000,810000.0000,1,1
1771460445.000,2026-02-19,999200.0000,810000.0000,1,1
1771460449.000,2026-02-19,999200.0000,810000.0000,1,1
1771460450.000,2026-02-19,999200.0000,810000.0000,1,1
1771460451.000,2026-02-19,999200.0000,810000.0000,1,1
1771460453.000,2026-02-19,999300.0000,810000.0000,1,1
1771460455.000,2026-02-19,999300.0000,810000.0000,1,1
1771460457.000,2026-02-19,999300.0000,810000.0000,1,1
1771460460.000,2026-02-19,999200.0000,999200.0000,0,1
1771460462.000,2026-02-19,999200.0000,999200.0000,0,1
1771460466.000,2026-02-19,999200.0000,999200.0000,0,1
1771460468.000,2026-02-19,999200.0000,999200.0000,0,1
1771460470.000,2026-02-19,999200.0000,999200.0000,0,1
1771460471.000,2026-02-19,999200.0000,999200.0000,0,1
1771460472.000,2026-02-19,999200.0000,999200.0000,0,1
1771460473.000,2026-02-19,999200.0000,999200.0000,0,1
1771460476.000,2026-02-19,999200.0000,999200.0000,0,1
1771460478.000,2026-02-19,999200.0000,999200.0000,0,1
1771460479.000,2026-02-19,999200.0000,999200.0000,0,1
1771460480.000,2026-02-19,999200.0000,999200.0000,0,1
1771460481.000,2026-02-19,999200.0000,999200.0000,0,1
1771460482.000,2026-02-19,999200.0000,999200.0000,0,1
1771460483.000,2026-02-19,999200.0000,999200.0000,0,1
1771460484.000,2026-02-19,999200.0000,999200.0000,0,1
1771460485.000,2026-02-19,999200.0000,999200.0000,0,1
1771460487.000,2026-02-19,999200.0000,999200.0000,0,1
1771460488.000,2026-02-19,999200.0000,999200.0000,0,1
