ts,symbol,session,price,ret,tick_count,trv,imb,spread,dayrise,status,detail
1772084163.000,005930,CLOSE,216000.0000,-0.231,145,2358313750,0.471,0.232,0.000,NO_BUY,reject=ret cur=-0.23 thr=0.15 margin=-0.38 relax=0.00 | all=ret cur=-0.23 thr=0.15 margin=-0.38 relax=0.00; ret10 cur=-0.23 thr=0.25 margin=-0.48; ret10_non_positive cur=-0.23
1772084165.000,086520,CLOSE,184900.0000,0.000,19,50648000,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084165.000,035720,CLOSE,61300.0000,-0.163,42,33331750,0.187,0.163,0.000,NO_BUY,reject=ret cur=-0.16 thr=0.15 margin=-0.31 relax=0.00 | all=ret cur=-0.16 thr=0.15 margin=-0.31 relax=0.00; ret10 cur=-0.16 thr=0.25 margin=-0.41; ret10_non_positive cur=-0.16
1772084166.000,066570,CLOSE,146000.0000,0.069,28,31823800,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.07 thr=0.15 margin=-0.08 relax=0.00 | all=ret cur=0.07 thr=0.15 margin=-0.08 relax=0.00; ret10 cur=0.07 thr=0.25 margin=-0.18
1772084166.000,187660,CLOSE,19090.0000,0.157,314,969284330,0.500,0.000,0.000,NO_BUY,reject=ret10 cur=0.16 thr=0.25 margin=-0.09 | all=ret10 cur=0.16 thr=0.25 margin=-0.09
1772084166.000,064400,CLOSE,73700.0000,0.000,14,44001800,0.600,0.136,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084168.000,336260,CLOSE,40000.0000,0.250,12,64517825,0.500,0.000,0.000,NO_BUY,confirm_wait 0.1s
1772084169.000,124500,CLOSE,60300.0000,0.000,6,14157000,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084169.000,310210,CLOSE,316000.0000,0.158,6,6316500,0.500,0.000,0.000,NO_BUY,reject=ret10 cur=0.16 thr=0.25 margin=-0.09 | all=ret10 cur=0.16 thr=0.25 margin=-0.09
1772084169.000,039030,CLOSE,415500.0000,-0.241,20,78790500,0.090,0.362,0.000,NO_BUY,reject=ret cur=-0.24 thr=0.15 margin=-0.39 relax=0.00 | all=ret cur=-0.24 thr=0.15 margin=-0.39 relax=0.00; ret10 cur=-0.24 thr=0.25 margin=-0.49; ret10_non_positive cur=-0.24
1772084171.000,103590,CLOSE,88100.0000,-0.113,4,5904100,0.718,0.113,0.000,NO_BUY,reject=ret cur=-0.11 thr=0.15 margin=-0.26 relax=0.00 | all=ret cur=-0.11 thr=0.15 margin=-0.26 relax=0.00; ret10 cur=-0.11 thr=0.25 margin=-0.36; ret10_non_positive cur=-0.11
1772084173.000,122630,CLOSE,110910.0000,0.054,36,150699780,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.05 thr=0.15 margin=-0.10 relax=0.00 | all=ret cur=0.05 thr=0.15 margin=-0.10 relax=0.00; ret10 cur=0.05 thr=0.25 margin=-0.20
1772084173.000,058470,CLOSE,105900.0000,-0.094,22,74496700,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.09 thr=0.15 margin=-0.24 relax=0.00 | all=ret cur=-0.09 thr=0.15 margin=-0.24 relax=0.00; ret10 cur=-0.09 thr=0.25 margin=-0.34; ret10_non_positive cur=-0.09
1772084173.000,229200,CLOSE,20977.0000,0.010,36,68138952,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.01 thr=0.15 margin=-0.14 relax=0.00 | all=ret cur=0.01 thr=0.15 margin=-0.14 relax=0.00; ret10 cur=0.01 thr=0.25 margin=-0.24
1772084174.000,002020,CLOSE,71100.0000,-0.281,23,13028100,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.28 thr=0.15 margin=-0.43 relax=0.00 | all=ret cur=-0.28 thr=0.15 margin=-0.43 relax=0.00; ret10 cur=-0.28 thr=0.25 margin=-0.53; ret10_non_positive cur=-0.28
1772084174.000,115180,CLOSE,33800.0000,0.148,3,2368150,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.15 thr=0.15 margin=-0.00 relax=0.00 | all=ret cur=0.15 thr=0.15 margin=-0.00 relax=0.00; ticks cur=3 thr=4 margin=-1; ret10 cur=0.15 thr=0.25 margin=-0.10
1772084175.000,035420,CLOSE,260000.0000,-0.192,27,37451500,0.473,0.192,0.000,NO_BUY,reject=ret cur=-0.19 thr=0.15 margin=-0.34 relax=0.00 | all=ret cur=-0.19 thr=0.15 margin=-0.34 relax=0.00; ret10 cur=-0.19 thr=0.25 margin=-0.44; ret10_non_positive cur=-0.19
1772084176.000,161580,CLOSE,54100.0000,0.000,4,43280000,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084179.000,396500,CLOSE,34590.0000,0.087,117,1757564624,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.09 thr=0.15 margin=-0.06 relax=0.00 | all=ret cur=0.09 thr=0.15 margin=-0.06 relax=0.00; ret10 cur=0.09 thr=0.25 margin=-0.16
1772084180.000,233740,CLOSE,20295.0000,-0.025,43,244957602,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.02 thr=0.15 margin=-0.17 relax=0.00 | all=ret cur=-0.02 thr=0.15 margin=-0.17 relax=0.00; ret10 cur=-0.02 thr=0.25 margin=-0.27; ret10_non_positive cur=-0.02
1772084181.000,036810,CLOSE,41800.0000,0.120,4,1673750,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.12 thr=0.15 margin=-0.03 relax=0.00 | all=ret cur=0.12 thr=0.15 margin=-0.03 relax=0.00; ret10 cur=0.12 thr=0.25 margin=-0.13
1772084181.000,064760,CLOSE,235500.0000,0.000,10,10596500,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084182.000,005830,CLOSE,208500.0000,-0.240,3,5837500,0.093,0.240,0.000,NO_BUY,reject=ret cur=-0.24 thr=0.15 margin=-0.39 relax=0.00 | all=ret cur=-0.24 thr=0.15 margin=-0.39 relax=0.00; ticks cur=3 thr=4 margin=-1; ret10 cur=-0.24 thr=0.25 margin=-0.49; ret10_non_positive cur=-0.24
1772084183.000,005930,CLOSE,216000.0000,0.116,128,826611000,0.473,0.232,0.000,NO_BUY,reject=ret cur=0.12 thr=0.15 margin=-0.03 relax=0.00 | all=ret cur=0.12 thr=0.15 margin=-0.03 relax=0.00; ret10 cur=0.12 thr=0.25 margin=-0.13
1772084183.000,377300,CLOSE,68800.0000,0.000,8,2681200,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084185.000,035720,CLOSE,61300.0000,-0.163,31,58320650,0.187,0.163,0.000,NO_BUY,reject=ret cur=-0.16 thr=0.15 margin=-0.31 relax=0.00 | all=ret cur=-0.16 thr=0.15 margin=-0.31 relax=0.00; ret10 cur=-0.16 thr=0.25 margin=-0.41; ret10_non_positive cur=-0.16
1772084186.000,187660,CLOSE,18950.0000,-0.315,306,787951005,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.32 thr=0.15 margin=-0.47 relax=0.00 | all=ret cur=-0.32 thr=0.15 margin=-0.47 relax=0.00; ret10 cur=-0.32 thr=0.25 margin=-0.57; ret10_non_positive cur=-0.32
1772084186.000,066570,CLOSE,146000.0000,-0.068,36,187020300,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.07 thr=0.15 margin=-0.22 relax=0.00 | all=ret cur=-0.07 thr=0.15 margin=-0.22 relax=0.00; ret10 cur=-0.07 thr=0.25 margin=-0.32; ret10_non_positive cur=-0.07
1772084187.000,064400,CLOSE,73800.0000,0.000,12,6343500,0.598,0.136,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
