ts,event,symbol,qty,entry_price,ref_price,pnl_pct,note
1772701418.166,LOAD,103590,2,88700.0000,0.0000,0.000,"carry_state_restore"
1772771981.000,SELL,011330,1,678.0000,677.0000,-0.147,"FLOW_EXIT"
1772772718.000,SELL,152550,2,576.0000,574.0000,-0.347,"LIQUIDITY_EXIT"
