date,sym,side,price,qty,value,cost
20200102,005930,BUY,55365.59999999999,90,4982903.999999999,747.4355999999998
20200102,000660,BUY,94984.09999999999,52,4939173.199999999,740.8759799999998
20200102,122630,BUY,14102.179999999998,354,4992171.72,748.825758
20200102,233740,BUY,8886.58,562,4994257.96,749.1386939999999
20200102,069500,BUY,25943.597999999998,192,4981170.816,747.1756223999998
20200102,251340,BUY,7627.815,655,4996218.825,749.43282375
20200102,252670,BUY,6283.794999999999,795,4995617.024999999,749.3425537499999
20200102,068270,BUY,154201.21999999997,32,4934439.039999999,740.1658559999998
20200102,005380,BUY,118353.99999999999,42,4970867.999999999,745.6301999999998
20200102,035420,BUY,183047.49999999997,27,4942282.499999999,741.3423749999998
20200102,009150,BUY,126879.49999999999,39,4948300.499999999,742.2450749999998
20200102,008350,BUY,3345.0049999999997,1494,4997437.47,749.6156204999999
20200102,035720,BUY,30700.826999999997,162,4973533.973999999,746.0300960999998
20200102,102110,BUY,25742.997999999996,194,4994141.611999999,749.1212417999998
20200102,140410,BUY,64883.066999999995,77,4995996.159,749.39942385
20200102,012330,BUY,248242.49999999997,20,4964849.999999999,744.7274999999998
20200102,005935,BUY,45736.799999999996,109,4985311.199999999,747.7966799999998
20200102,114800,BUY,6444.275,775,4994313.125,749.1469687499999
20200102,051910,BUY,314941.99999999994,15,4724129.999999999,708.6194999999998
20200102,005490,BUY,236707.99999999997,21,4970867.999999999,745.6301999999998
20200131,140410,SELL,54943.673,77,4230662.821,10365.12391145
20200131,005490,SELL,220337.0,21,4627077.0,11336.33865
20200131,006400,BUY,271023.63899999997,18,4878425.501999999,731.7638252999999
20200131,090430,BUY,188563.99999999997,24,4525535.999999999,678.8303999999998
20200228,008350,SELL,3753.705,1494,5608035.27,13739.686411499999
20200228,012330,SELL,209370.0,20,4187400.0,10259.13
20200228,180640,BUY,67401.59999999999,72,4852915.199999999,727.9372799999999
20200228,026890,BUY,9648.859999999999,505,4872674.3,730.9011449999999
20200331,102110,SELL,21016.76,194,4077251.4399999995,9989.266027999998
20200331,090430,SELL,167994.5,24,4031868.0,9878.0766
20200331,019170,BUY,14443.199999999999,311,4491835.199999999,673.7752799999998
20200331,207940,BUY,703181.2339999999,5,3515906.17,527.3859255
20200429,035420,SELL,196907.5,27,5316502.5,13025.431125
