date,sym,side,price,qty,value,cost
20200331,051600,SELL,28962.85,129,3736207.65,9153.708742499999
20200331,034730,SELL,166997.5,19,3172952.5,7773.733625
20200331,105560,SELL,34446.35,107,3685759.4499999997,9030.1106525
20200331,066570,SELL,48055.4,71,3411933.4,8359.23683
20200331,229200,SELL,8927.138,503,4490350.414000001,11001.358514300002
20200331,012510,SELL,80757.0,50,4037850.0,9892.7325
20200331,032640,SELL,10767.6,329,3542540.4,8679.223979999999
20200331,003550,SELL,55567.795,68,3778610.06,9257.594647
20200331,068270,SELL,195005.224,20,3900104.4799999995,9555.255975999999
20200331,114800,BUY,7522.499999999999,535,4024537.4999999995,603.6806249999998
20200331,251270,BUY,93479.59999999999,43,4019622.8,602.94342
20200331,000120,BUY,136407.99999999997,29,3955831.999999999,593.3747999999998
20200331,000100,BUY,38516.202999999994,104,4005685.1119999993,600.8527667999998
20200331,090430,BUY,169005.49999999997,23,3887126.4999999995,583.0689749999999
20200331,139480,BUY,106819.49999999999,37,3952321.4999999995,592.8482249999998
20200331,251340,BUY,7993.909999999999,504,4028930.6399999997,604.3395959999999
20200331,051900,BUY,1123359.9999999998,3,3370079.999999999,505.51199999999983
20200331,271560,BUY,115344.99999999999,34,3921729.9999999995,588.2594999999999
20200331,000660,BUY,83549.9,48,4010395.1999999997,601.55928
20200331,095720,BUY,2420.2389999999996,1132,2739710.5479999995,410.9565821999999
20200429,005930,SELL,49850.0,90,4486500.0,10991.925
20200429,028260,SELL,105682.0,46,4861372.0,11910.3614
20200429,014680,SELL,85542.6,43,3678331.8000000003,9011.912910000001
20200429,000120,SELL,147556.0,29,4279124.0,10483.853799999999
20200429,090430,SELL,176469.0,23,4058787.0,9944.02815
20200429,139480,SELL,119640.0,37,4426680.0,10845.366
20200429,251340,SELL,7258.16,504,3658112.64,8962.375968
20200429,000660,SELL,83448.9,48,4005547.1999999997,9813.590639999999
20200429,095720,SELL,2641.053,1132,2989671.996,7324.696390199999
20200429,181710,BUY,39972.558999999994,107,4277063.812999999,641.5595719499998
20200429,006280,BUY,148945.49999999997,28,4170473.999999999,625.5710999999998
20200429,007700,BUY,53660.49999999999,79,4239179.499999999,635.8769249999998
20200429,192080,BUY,49263.348,87,4285911.276,642.8866913999999
20200429,192820,BUY,87502.72299999998,49,4287633.426999999,643.1450140499999
20200429,263750,BUY,38575.38,111,4281867.18,642.2800769999999
20200429,031430,BUY,43730.799999999996,98,4285618.399999999,642.8427599999999
20200429,185750,BUY,76713.45199999999,55,4219239.859999999,632.8859789999999
20200429,009410,BUY,14692.946999999998,157,2306792.6789999995,346.0189018499999
20200529,114800,SELL,6490.47,535,3472401.45,8507.3835525
20200529,007700,SELL,49600.75,79,3918459.25,9600.225162499999
20200529,031430,SELL,38883.0,98,3810534.0,9335.8083
20200529,009410,SELL,15720.696,157,2468149.272,6046.965716399999
20200529,000080,BUY,36107.99999999999,127,4585715.999999999,687.8573999999998
20200529,229200,BUY,10654.868999999999,431,4592248.539,688.83728085
20200529,123690,BUY,14092.149999999998,314,4424935.1,663.7402649999999
20200630,005935,SELL,46360.5,109,5053294.5,12380.571525
20200630,192080,SELL,67374.269,87,5861561.403,14360.825437349999
20200630,185750,SELL,85738.012,55,4715590.66,11553.197117
20200630,123690,SELL,14755.6,314,4633258.4,11351.48308
20200630,068270,BUY,262142.07399999996,18,4718557.3319999995,707.7835997999998
20200630,033270,BUY,24071.999999999996,206,4958831.999999999,743.8247999999998
20200630,097950,BUY,326977.99999999994,15,4904669.999999999,735.7004999999998
20200630,000120,BUY,157972.49999999997,31,4897147.499999999,734.5721249999998
20200630,028260,BUY,116347.99999999999,6,698087.9999999999,104.71319999999997
20200731,035720,SELL,68739.162,162,11135744.243999999,27282.573397799995
20200731,035420,SELL,300097.0,25,7502425.0,18380.94125
20200731,036570,SELL,808567.0,6,4851402.0,11885.9349
20200731,251270,SELL,127616.0,43,5487488.0,13444.345599999999
20200731,181710,SELL,42853.054,107,4585276.778,11233.9281061
20200731,006280,SELL,226319.0,28,6336932.0,15525.4834
20200731,192820,SELL,90692.105,49,4443913.145,10887.587205249998
20200731,263750,SELL,37586.9,111,4172145.9000000004,10221.757455
