date,sym,side,price,qty,value,cost
20200228,252710,BUY,7346.974999999999,6805,49996164.875,7499.424731249999
20200228,252670,BUY,7226.614999999999,6849,49495086.13499999,7424.2629202499975
20200331,252710,SELL,8290.055,6805,56413824.275,138213.86947375
20200331,252670,SELL,8065.73,6849,55242184.769999996,135343.35268649997
20200331,006280,BUY,138413.99999999997,800,110731199.99999997,16609.679999999993
20200429,006280,SELL,148054.5,800,118443600.0,290186.82
20200529,012510,BUY,120359.99999999999,981,118073159.99999999,17710.973999999995
20200630,012510,SELL,101694.0,981,99761814.0,244416.4443
20200731,046890,BUY,17803.249999999996,2828,50347590.99999999,7552.138649999998
20200731,002900,BUY,4154.4259999999995,11999,49848957.57399999,7477.343636099999
20200831,046890,SELL,16251.1,2828,45958110.800000004,112597.37146000001
20200831,002900,SELL,4298.067,11999,51572505.933,126352.63953584999
20200831,009410,BUY,22039.922,2218,48884546.996,7332.682049399999
20200831,017670,BUY,42916.363999999994,1127,48366742.22799999,7255.011334199999
20200929,009410,SELL,20061.634,2218,44496704.212,109016.92531939999
20200929,017670,SELL,40939.811,1127,46139166.997,113040.95914265
20200929,009460,BUY,2326.9599999999996,38688,90025428.47999999,13503.814271999998
20201030,009460,SELL,1964.09,38688,75986713.92,186167.449104
20201030,068290,BUY,23921.549999999996,3174,75926999.69999999,11389.049954999997
20201130,068290,SELL,26071.55,3174,82751099.7,202740.194265
20201130,008930,BUY,66610.233,178,11856621.474,1778.4932210999998
20201130,005300,BUY,99698.19999999998,119,11864085.799999997,1779.6128699999995
20201130,033240,BUY,16900.55,704,11897987.2,1784.6980799999997
20201130,039130,BUY,52025.60999999999,228,11861839.079999998,1779.2758619999995
20201130,066970,BUY,48522.130999999994,245,11887922.094999999,1783.1883142499996
20201130,026960,BUY,34101.99999999999,348,11867495.999999998,1780.1243999999995
20201130,032640,BUY,11985.849999999999,992,11889963.2,1783.4944799999998
20201230,008930,SELL,73071.127,178,13006660.605999999,31866.318484699997
20201230,005300,SELL,108174.5,119,12872765.5,31538.275475
20201230,033240,SELL,22731.6,704,16003046.399999999,39207.46367999999
20201230,039130,SELL,54537.894,228,12434639.832,30464.8675884
20201230,066970,SELL,68560.699,245,16797371.255,41153.55957475
20201230,026960,SELL,33848.15,348,11779156.200000001,28858.93269
20201230,032640,SELL,11714.75,992,11621032.0,28471.5284
20201230,066570,BUY,135404.99999999997,77,10426184.999999998,1563.9277499999996
20201230,195870,BUY,24473.199999999997,428,10474529.6,1571.1794399999999
20201230,001820,BUY,66097.7,158,10443436.6,1566.5154899999998
20201230,000990,BUY,51152.99999999999,205,10486364.999999998,1572.9547499999996
20201230,010780,BUY,53560.2,195,10444239.0,1566.63585
20201230,001040,BUY,92376.29999999999,113,10438521.899999999,1565.7782849999996
20201230,097520,BUY,40521.2,258,10454469.6,1568.1704399999999
20201230,077500,BUY,7372.049999999999,1423,10490427.149999999,1573.5640724999996
20201230,089030,BUY,12009.921999999999,873,10484661.906,1572.6992858999997
20210129,066570,SELL,152541.0,77,11745657.0,28776.85965
20210129,195870,SELL,34047.55,428,14572351.4,35702.26093
20210129,001820,SELL,74575.6,158,11782944.8,28868.214760000003
20210129,000990,SELL,61315.5,205,12569677.5,30795.709875
20210129,010780,SELL,53538.9,195,10440085.5,25578.209475
20210129,001040,SELL,93817.7,113,10601400.1,25973.430245
20210129,097520,SELL,51943.7,258,13401474.6,32833.61277
20210129,077500,SELL,6654.975,1423,9470029.425,23201.57209125
20210129,089030,SELL,11331.902,873,9892750.446,24237.2385927
